CohortMonth,0,1,2,3,4,5,6,7,8,9,10,11,12
2010-12,570422.73,275734.47000000003,233390.47,302367.44,204034.38,336113.69,313668.16,310304.03,331001.07,471792.13,455478.9,512341.08,185360.97
2011-01,292366.84,54993.86,63157.01,71526.09,80989.77,84464.57,70073.35,72503.42,71870.481,111370.7,123252.86,26388.03,
2011-02,157700.59,28937.64,40964.47,48155.39,40089.17,34155.67,49673.71,62292.8,55241.340000000004,64688.86,10600.22,,
2011-03,199619.67,30040.34,58958.41,42739.08,51392.44,39962.33,64824.15,70523.62,70847.62,12761.1,,,
2011-04,121809.051,29398.59,25028.57,24282.79,26253.16,30103.24,28505.9,34009.61,6332.0,,,,
2011-05,123739.3,18641.7,20155.73,19162.170000000002,27752.62,32875.340000000004,33168.340000000004,179184.22999999998,,,,,
2011-06,135414.8,14738.49,14104.37,30898.56,26669.9,42531.090000000004,8143.22,,,,,,
2011-07,73860.401,11789.67,15488.37,17391.93,19156.82,6040.7,,,,,,,
2011-08,79601.14,20933.76,35458.48,44487.65,15284.36,,,,,,,,
2011-09,154734.09100000001,28701.15,36898.95,12299.53,,,,,,,,,
2011-10,173425.19,39691.4,12567.28,,,,,,,,,,
2011-11,135131.33,15223.34,,,,,,,,,,,
2011-12,27005.46,,,,,,,,,,,,
